gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,liver_448_adjacent_non-tumor_tissue,liver_448_tumor,liver_473_adjacent_non-tumor_tissue,liver_473_tumor,liver_510_adjacent_non-tumor_tissue,liver_510_tumor
KLKB1,2918.0296323083,-3.48714324913979,0.4262004323321,-8.18193268847407,2.79327080654526e-16,4.39954783587371e-14,3598.64455590436,574.314581633019,6191.82794546326,536.665401104656,6284.00430396062,322.721005783904
CYP3A43,230.862377190552,-5.85414778872285,0.717094596609567,-8.16370366810926,3.24905402319619e-16,5.04484472991531e-14,214.459004735642,13.9718016018276,782.938172979326,5.33111325600652,364.310028560394,4.16414201011488
DSG1,359.880991264314,-3.95569562945087,0.48647194930034,-8.13139510950237,4.2437764497078e-16,6.53398925307112e-14,624.28903996344,48.5336266168748,913.887339234671,24.8785285280304,490.787472437965,56.9099408049034
NGFR,319.176702730415,-5.28768606180509,0.651887071839523,-8.11135285577005,5.00592548187206e-16,7.643213889905e-14,689.412716794158,27.9436032036552,526.553489574124,3.55407550400434,651.633786934441,15.9625443721071
LOC105373116,141.058532935752,3.85742437421514,0.476210300827382,8.10025395820532,5.48445771338171e-16,8.30464745657684e-14,12.3510421575501,198.546654341761,22.0545964219528,282.549002568345,20.6213223713431,310.228579753559
INMT,300.700938452031,-5.78899493940142,0.715472760916051,-8.09114651966556,5.91057025856614e-16,8.8765137932335e-14,629.903150035053,3.67678989521779,580.311568352634,4.44259438000543,562.274723325288,23.5968047239843
SLC1A2,2130.87818124303,-6.71093071061593,0.829684100330971,-8.08853720101285,6.03855446764084e-16,8.99499145984679e-14,6043.02808108495,33.0911090569601,4200.02220610564,82.632255468101,2420.94324639568,5.55218934681985
BMP10,96.1619491709834,-10.4112146748148,1.28964901309381,-8.07290554957949,6.86447081694461e-16,1.01428092183919e-13,242.52955509371,0,141.976464466321,0,192.465675465869,0
ANLN,724.138632103337,4.6384532600991,0.575212265504983,8.06389838719271,7.38991907534243e-16,1.08318477838739e-13,102.176803303369,1571.46000121608,39.9739560147895,1317.67349310961,24.7455868456117,1288.80195213056
WDR76,335.314447991196,3.15169945646559,0.394738809970308,7.98426548608853,1.41361490082466e-15,2.05557557245313e-13,75.2290749596231,758.889434372952,70.2990260949747,610.412467812746,57.7397026397606,439.31698206712
